raw_frequency,collocate,MI
2,envieth,13.756590357795671
2,ariseth,13.756590357795671
1,sleepily,13.063443177235726
1,fatherly,13.063443177235726
1,warbles,13.063443177235726
1,stanchest,13.063443177235726
1,lightsome,13.063443177235726
1,requited,13.063443177235726
1,phantom,13.063443177235726
1,tu,13.063443177235726
1,defiled,13.063443177235726
1,deceives,13.063443177235726
1,pinions,13.063443177235726
1,unjustified,13.063443177235726
1,revere,13.063443177235726
1,wells,13.063443177235726
1,immeasurably,13.063443177235726
1,carefulness,13.063443177235726
1,recognising,13.063443177235726
1,limitless,13.063443177235726
1,abideth,13.063443177235726
1,excelleth,13.063443177235726
1,offends,13.063443177235726
1,pledges,13.063443177235726
1,suffereth,13.063443177235726
1,falsely,13.063443177235726
1,vaunteth,13.063443177235726
1,widows,13.063443177235726
1,endureth,13.063443177235726
1,determinedly,13.063443177235726
1,measureless,13.063443177235726
1,compresses,13.063443177235726
1,unexpressed,13.063443177235726
1,halycon,13.063443177235726
1,vindictiveness,13.063443177235726
1,mature,13.063443177235726
1,regains,13.063443177235726
1,telescopic,13.063443177235726
1,gambolling,13.063443177235726
1,mistrusted,13.063443177235726
1,frailest,13.063443177235726
1,casteth,13.063443177235726
1,reigns,13.063443177235726
1,lorn,13.063443177235726
1,sunstroke,13.063443177235726
1,spirituality,13.063443177235726
1,xliv,13.063443177235726
1,skinning,13.063443177235726
1,outgrown,13.063443177235726
1,chaste,13.063443177235726
1,deified,13.063443177235726
1,bubble,13.063443177235726
1,infused,13.063443177235726
1,frees,13.063443177235726
1,uncultured,13.063443177235726
1,kernel,13.063443177235726
3,unrequited,12.775761104783944
2,aspiration,12.37029599667578
1,rated,11.677148816115835
1,psalm,11.677148816115835
1,lectured,11.677148816115835
1,responding,11.677148816115835
1,sanctified,11.677148816115835
1,upborne,11.677148816115835
1,gage,11.677148816115835
1,kingly,11.677148816115835
1,seeketh,11.677148816115835
1,yearn,11.677148816115835
1,ministering,11.677148816115835
1,frankincense,11.677148816115835
1,unsullied,11.677148816115835
1,closest,11.677148816115835
1,aflame,11.677148816115835
1,overtures,11.677148816115835
1,propensities,11.677148816115835
1,xxxiv,11.677148816115835
1,knots,11.677148816115835
1,flows,11.677148816115835
1,unselfish,11.677148816115835
1,dawns,11.677148816115835
1,dependant,11.677148816115835
1,conceptions,11.677148816115835
1,deadliest,11.677148816115835
1,friendships,11.677148816115835
1,xxvi,11.677148816115835
1,surging,11.677148816115835
1,dissolute,11.677148816115835
2,imagining,11.559365780459451
2,depicted,10.98400163555589
2,humanity,10.98400163555589
1,application,10.866218599899506
1,molten,10.866218599899506
1,woo,10.866218599899506
1,poem,10.866218599899506
1,devise,10.866218599899506
1,paramount,10.866218599899506
1,unperceived,10.866218599899506
1,pie,10.866218599899506
1,threads,10.866218599899506
1,illegitimate,10.866218599899506
1,purified,10.866218599899506
1,victorious,10.866218599899506
1,bled,10.866218599899506
1,connection,10.866218599899506
1,stainless,10.866218599899506
1,furthest,10.866218599899506
1,inherited,10.866218599899506
1,linked,10.866218599899506
1,lavished,10.866218599899506
1,cooled,10.866218599899506
10,faileth,10.570237724633031
1,politeness,10.290854454995944
1,valued,10.290854454995944
1,quickened,10.290854454995944
1,reassured,10.290854454995944
1,delusion,10.290854454995944
1,flamed,10.290854454995944
1,weeding,10.290854454995944
1,supplemented,10.290854454995944
1,softening,10.290854454995944
1,york,10.290854454995944
1,nobler,10.290854454995944
1,prey,10.290854454995944
1,transparent,10.290854454995944
1,dessert,10.290854454995944
1,quench,10.290854454995944
1,transfer,10.290854454995944
1,renounced,10.290854454995944
1,bygone,10.290854454995944
1,untouched,10.290854454995944
1,blaze,10.290854454995944
1,unutterable,10.290854454995944
1,mentioning,10.290854454995944
1,conquer,10.290854454995944
1,yearnings,10.290854454995944
1,pronounce,10.290854454995944
1,cheering,10.290854454995944
1,worthily,10.290854454995944
1,scissors,10.290854454995944
1,vivisection,10.290854454995944
1,trample,10.290854454995944
1,clary,10.290854454995944
1,closeness,10.290854454995944
1,crust,10.290854454995944
2,dearly,10.173071419339562
1,brink,9.844567352367525
1,hunting,9.844567352367525
1,alight,9.844567352367525
1,dependent,9.844567352367525
1,writes,9.844567352367525
1,affliction,9.844567352367525
1,tenth,9.844567352367525
1,conquered,9.844567352367525
1,rod,9.844567352367525
1,justly,9.844567352367525
