,precision,recall,f1-score,support
Season 1,0.27,0.28,0.28,612.0
Season 2,0.29,0.35,0.32,824.0
Season 3,0.22,0.26,0.24,716.0
Season 4,0.25,0.26,0.25,702.0
Season 5,0.24,0.22,0.23,595.0
Season 6,0.24,0.22,0.23,550.0
Season 7,0.37,0.27,0.31,494.0
Season 8,0.29,0.16,0.2,290.0
accuracy,0.26,0.26,0.26,0.26
macro avg,0.27,0.25,0.26,4783.0
weighted avg,0.27,0.26,0.26,4783.0
